FcpaEdges, SparkEdges, Context, CallSite
1, 1, 90, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 48, "specialinvoke $r0.<java.lang.String: void <init>(char[],int,int)>($r2, 0, $i0)"
1, 1, 33, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>(16)"
1, 1, 34, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 53, "$r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 53, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 53, "specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()"
1, 1, 53, "specialinvoke r0.<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>($r4)"
1, 1, 53, "$r2 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("String index out of range: ")"
1, 1, 75, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 76, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 77, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 78, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 78, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 52, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 52, "specialinvoke r0.<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>($r4)"
1, 1, 52, "$r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 52, "specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()"
1, 1, 52, "$r2 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("String index out of range: ")"
1, 1, 81, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 82, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 83, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 84, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 84, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 54, "$r5 = virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(" > ")"
1, 1, 54, "specialinvoke $r2.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>($r7)"
1, 1, 54, "$r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 54, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i1)"
1, 1, 54, "specialinvoke $r3.<java.lang.StringBuilder: void <init>()>()"
1, 1, 54, "$r6 = virtualinvoke $r5.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 54, "$i5 = staticinvoke <java.lang.Math: int min(int,int)>($i4, i2)"
1, 1, 55, "specialinvoke r0.<java.lang.AbstractStringBuilder: void <init>(int)>(16)"
1, 1, 56, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 58, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(int)>(i0)"
1, 1, 59, "staticinvoke <java.lang.Integer: void getChars(int,int,char[])>(i0, i3, $r1)"
1, 1, 59, "virtualinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>("-2147483648")"
1, 1, 59, "$i5 = staticinvoke <java.lang.Integer: int stringSize(int)>($i4)"
1, 1, 59, "$i6 = staticinvoke <java.lang.Integer: int stringSize(int)>(i0)"
1, 1, 59, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>(i3)"
1, 1, 64, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 64, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 65, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 66, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 60, "$r2 = virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 61, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 62, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 62, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 62, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 62, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 63, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 68, "specialinvoke $r0.<java.lang.String: void <init>(char[],int,int)>($r2, 0, $i0)"
1, 1, 69, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 70, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 71, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 72, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 72, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 67, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 707, "specialinvoke r0.<java.lang.Object: void <init>()>()"
